,Attribution,Change_percent,Change_percent_20_days,Change_percent_251_days,Change_percent_5_days,Company Name,Market Cap,Price,Sector,Summary
BAKK,"I do not have enough reliable real-time information to provide a definitive explanation for the Bakkavor Group plc stock change of -2.14% on February 11, 2025. However, I can offer some possibilities based on available information and general market factors:

**Factors to Consider:**

*   **Market conditions:** Overall market sentiment, sector trends (food producers, consumer staples), and economic news could be impacting Bakkavor's stock.
*   **Company-specific news:** Look for announcements from Bakkavor on February 11, 2025, or in the days immediately preceding it. This could include:
    *   Earnings reports or financial updates
    *   Major contract wins or losses
    *   Changes in leadership
    *   Significant operational developments
*   **Analyst ratings:** Changes in analyst ratings or price targets can influence investor behavior.
*   **Global events:** Major global events, such as political developments or economic shifts, can have broad market impacts.
*   **Pay Dispute:** According to marketscreener.com on 2025-01-31, there was a pay dispute at food manufacturer Bakkavor that escalated.

**Where to Look for More Information:**

*   **Financial news outlets:** Check major financial news websites for articles specifically mentioning Bakkavor Group plc on or around February 11, 2025.
*   **Bakkavor's investor relations website:** Review Bakkavor's official website for press releases, investor presentations, and regulatory filings.
*   **Financial data providers:** Use financial data services to examine Bakkavor's stock chart, trading volume, and news feed for any unusual patterns or relevant information.

",-2.14,4.980842911877394,54.90659597229448,2.2388059701492535,Bakkavor Group plc,$790.8M,137.0,Consumer Defensive,"Bakkavor Group plc is a UK-based provider of fresh prepared foods (FPF) like meals, breads, soups, and salads, with operations in the UK, US, and China.
"
BOWL,"On February 11, 2025, Hollywood Bowl Group PLC experienced a stock change. However, the information regarding the specific percentage change you mentioned (-2.0%) seems to be inaccurate, as the Hargreaves Lansdown source [1] reports a change of +3.00p (1.09%) at close on February 11, 2025.

To understand the reasons behind stock price movements, it's essential to consider several factors:

*   **Overall Market Conditions:** General market trends and investor sentiment can influence individual stock prices.
*   **Company-Specific News:** Recent news and events related to Hollywood Bowl Group PLC could impact its stock price. Some recent news includes:

    *   Grant of options under SAYE Scheme [2, 12]
    *   Director/PDMR Shareholding [2, 14]
*   **Financial Performance:** The company's financial results, including revenue, profits, and growth prospects, play a significant role. For example, on January 30, 2025, Hollywood Bowl Group PLC reported confidence in boosting its market position after a bumper holiday period [8, 9].

**To determine the exact cause of the stock change on February 11, 2025, further information would be needed, and it is recommended to consult financial news sources for detailed analysis.**
",-2.0,-1.4993861959564112,-10.995111823340288,-3.0575539568345325,Hollywood Bowl Group plc,$481.0M,269.5,Consumer Cyclical,"Hollywood Bowl Group plc is a leading leisure operator of ten-pin bowling and mini-golf centers in the UK and Canada, offering entertainment, amusements, food and drink.
"
HVPE,"While I can't pinpoint the exact cause of a specific 2.0% stock change for HarbourVest Global Priv Equity Ord on February 11, 2025, I can offer some potential factors and relevant information:

**1. Company Actions:**

*   **Share Repurchases:** On February 10, 2025, HarbourVest Global Private Equity Limited announced it had purchased 35,000 of its own ordinary shares for cancellation. Share buybacks can sometimes influence stock prices, although the impact of a single buyback might not be a dramatic 2%.

**2. General Market Conditions:**

*   **Broader Market Trends:** Overall stock market performance can influence individual stock prices.
*   **Sector Trends:** The performance of the private equity sector in general could have an impact.

**3. Company-Specific News & Performance:**

*   **Financial Results/Reports:** Keep an eye out for any recent financial releases or reports.
*   **Analyst Ratings:** Changes in analyst ratings can affect investor sentiment.
*   **Other News:** Any significant news about HarbourVest Global Private Equity could be a factor.

**4. Delayed Information:**

*   **Information delays:** Note that some stock price information can be delayed.

",-2.0,4.669260700389105,15.450643776824036,-1.824817518248175,HarbourVest Global Priv Equity Ord,$2.1B,2690.0,,"HarbourVest Global Private Equity invests in a diversified global portfolio of private companies through HarbourVest-managed funds, seeking long-term capital appreciation.
"
RPI,,-1.97,24.50388265746333,,-3.089321692411014,Raspberry Pi Holdings plc,$1.4B,721.5,Technology,"Raspberry Pi Holdings plc designs and manufactures single-board computers (SBCs) and compute modules for industrial IoT, embedded uses, education, and enthusiasts.
"
JDW,,-1.87,2.553191489361702,-23.047659910968974,-0.6595218466611706,J D Wetherspoon plc,$702.6M,602.5,Consumer Cyclical,"J D Wetherspoon plc owns and operates pubs and hotels throughout the United Kingdom and Ireland.
"
GEN,,-1.8,9.169054441260744,-0.2882188249134733,-0.1310615989515072,Genuit Group plc,$971.8M,381.0,Industrials,"Genuit Group plc provides sustainable water, climate, and ventilation solutions for the built environment, helping customers adapt to climate change and meet sustainability targets.
"
HTWS,,-1.76,5.574139600743652,24.769430956745158,-1.7634870321267913,Helios Towers plc,$1.0B,94.7,Communication Services,"Helios Towers is a UK-based independent telecommunications infrastructure company focused on owning and operating towers in Africa and the Middle East.
"
IBST,,-1.74,3.4271764459570835,12.952840519814707,2.6731432158740347,Ibstock plc,$673.8M,169.0,Basic Materials,"Ibstock plc manufactures and supplies clay bricks and concrete products to the UK construction industry.
"
SRP,,-1.73,7.89115646258503,-9.579826698597588,1.601533503353313,Serco Group plc,$1.6B,158.6,Industrials,"Serco Group plc is a British multinational company providing public services in defense, justice, immigration, transport, health, and citizen sectors.
"
ONT,,-1.67,-8.345116270035259,-18.490566037735853,-5.401459854014603,Oxford Nanopore Technologies plc,$1.3B,129.6,Healthcare,"Oxford Nanopore Technologies develops and sells nanopore sequencing products for direct, electronic analysis of single molecules.
"
WIZZ,,-1.67,22.73092369477912,-26.11218568665377,23.925385239253853,Wizz Air Holdings Plc,$1.4B,1528.0,Industrials,"Wizz Air Holdings Plc is a Hungary-based airline providing low-cost passenger air transportation services on short-haul and medium-haul routes across Europe, the Caucasus, the Middle East, North Africa, and North-West Asia.
"
VTY,,-1.65,15.743440233236154,-38.22614107883817,2.76100086281277,Vistry Group PLC,$2.0B,595.5,Consumer Cyclical,"Vistry Group PLC is a UK-based company focused on developing mixed-tenure homes and communities, operating through brands like Bovis Homes and Countryside Partnerships.
"
OCDO,,-1.65,10.551229795392901,-38.644893489182245,8.245033112582774,Ocado Group plc,$2.7B,326.9,Consumer Defensive,"Ocado Group plc is a technology company focused on redefining e-commerce, fulfillment, and logistics, particularly in online grocery, through its proprietary Ocado Smart Platform.
"
GNS,,-1.63,26.825842696629216,-13.532165346337097,-2.0607375271149677,Genus plc,$1.2B,1806.0,Healthcare,"Genus PLC is an animal genetics company supplying elite breeding animals, semen, and embryos to cattle and pig farmers, enabling them to produce quality meat and milk.
"
EMG,,-1.61,4.099999999999994,-7.426637928835336,-0.9514733478966988,Man Group Plc,$2.5B,208.2,Financial Services,"Man Group plc is a technology-empowered active investment management firm providing investment funds in liquid and private markets for institutional and private investors.
"
TRIG,,-1.6,-2.580246913580251,-13.202566673094934,1.5572755460515924,Renewables Infrastructure Grp,$2.0B,78.91,,"The Renewables Infrastructure Group (TRIG) invests in operational assets that generate electricity from renewable sources like wind farms and solar parks, primarily in the UK and Europe.
"
FGEN,,-1.59,-0.14662309782518332,-24.950992830913794,3.6529728511989212,Foresight Environmental Infra Ord,$433.5M,68.1,,"Foresight Environmental Infrastructure (formerly JLEN) invests in diversified environmental infrastructure assets that support decarbonization, resource efficiency, and environmental sustainability while aiming for financial returns.
"
EWI,,-1.58,-4.290093422285263,28.356164383561648,-2.9015544041450747,Edinburgh Worldwide Ord,$721.9M,187.4,,"Edinburgh Worldwide is a UK investment trust aiming for long-term capital growth by investing in listed companies globally, particularly smaller companies with disruptive growth potential.
"
SHC,,-1.55,1.1735095661605368,-4.982406262982387,0.5833333333333357,Shaftesbury Capital PLC,$2.2B,120.7,Real Estate,"Shaftesbury Capital PLC is a UK REIT investing in London's West End properties, including shops, restaurants, offices, and residential spaces in areas like Covent Garden and Soho.
"
JUP,,-1.52,5.29172756207397,1.3692237498806459,-0.38511106547186574,Jupiter Fund Management Plc,$412.5M,77.6,Financial Services,"Jupiter Fund Management is a UK-based asset manager providing equity and bond investments for private and institutional clients through various funds and mandates.
"
GFTU,,-1.51,7.181477795448574,-2.4400383355546884,0.7179120179662015,Grafton Group plc,$1.8B,911.9,Industrials,"Grafton Group plc is an international distributor of building materials and a DIY retailer with operations in the UK, Ireland, the Netherlands, Finland, and Spain.
"
MAB,,-1.49,1.7543859649122806,-3.413820588019868,4.269662921348314,Mitchells & Butlers plc,$1.4B,232.0,Consumer Cyclical,"Mitchells & Butlers plc operates a wide range of pubs, bars, and restaurants across the UK and Germany.
"
TCAP,,-1.47,3.4682080924855487,63.65642746911355,-0.9225092250922509,TP ICAP Group PLC,$2.0B,268.5,Financial Services,"TP ICAP Group PLC is a UK-based liquidity and data solutions company, providing intermediary services and data-led solutions across financial, energy, and commodities markets.
"
QLT,,-1.38,13.05595903901587,62.57533462137841,-0.44220027685592966,Quilter plc,$2.2B,157.6,Financial Services,"Quilter plc is a UK-based wealth management company providing financial advice, investment platforms, and investment management services.
"
GRI,,-1.37,3.031350898333947,-14.984304340487336,3.110047846889952,Grainger plc,$1.6B,215.5,Real Estate,"Grainger plc designs, builds, owns, and operates rental homes across the UK, focusing on the private rented sector.
"
HTG,,-1.33,-3.1884057971014492,16.599688549357428,-2.9069767441860463,Hunting PLC,$545.8M,334.0,Energy,"Hunting PLC specializes in manufacturing, trading, and renting equipment for the energy industry, serving oil and gas companies globally.
"
CHRY,,-1.33,6.543963955558548,22.15708824391737,2.7613396765151843,Chrysalis Investments Limited Ord,$579.3M,104.2,,"Chrysalis Investments is a Guernsey-based investment company focused on generating long-term capital growth by investing in equity or equity-related investments in both unquoted and listed companies.
"
ABDN,,-1.33,18.064516129032267,6.51749523738671,2.1674876847290716,abrdn plc,$2.8B,155.55,Financial Services,"abrdn plc is a global investment company managing investments and providing financial planning solutions through its Investments, Adviser, and Interactive Investor segments.
"
DEC,,-1.25,0.8900523560209492,70.65608421401824,0.7393577296489986,Diversified Energy Company PLC,$691.6M,1348.9,Energy,"Diversified Energy Company PLC produces, markets, and transports natural gas and natural gas liquids, focusing on acquiring and managing long-life, low-decline wells in the US.
"
PFD,,-1.24,9.79262286796665,37.78055396750688,2.915768434524837,Premier Foods plc,$1.6B,190.6,Consumer Defensive,"Premier Foods plc is a UK-based food manufacturer producing and supplying a range of food products, including cooking sauces, desserts, and sweet treats, with well-known brands like Mr Kipling and Bisto.
"
HILS,,-1.23,7.82122905027933,8.74638702754515,-2.4266936299292214,Hill & Smith PLC,$1.6B,1930.0,Industrials,"Hill & Smith PLC designs, manufactures, and supplies infrastructure products and galvanizing services for various global markets.
"
KLR,,-1.16,3.0349013657056148,67.2253906026871,0.5925925925925926,Keller Group plc,$987.2M,1358.0,Industrials,"Keller Group PLC is a geotechnical specialist contractor providing advanced foundation and ground improvement techniques across the construction sector.
"
THRL,,-1.13,6.69135802469136,17.449368242295346,1.6705882352941195,Target Healthcare REIT Ord,$544.8M,86.42,,"Target Healthcare REIT is a UK-based real estate investment trust that invests in a diversified portfolio of freehold and long leasehold care homes and other healthcare assets, letting them to care home operators.
"
N91,,-1.13,6.116638352172394,-7.758643525445224,-1.9710887045959606,Ninety One Group,$1.3B,149.2,Financial Services,"Ninety One is a global investment manager offering active strategies across equities, fixed income, multi-asset, and alternative investments to institutions and advisors.
"
MOON,,-1.13,7.920792079207921,39.119339020794705,-2.460850111856823,Moonpig Group PLC,$775.4M,218.0,Consumer Cyclical,"Moonpig Group PLC is a UK-based online greeting card and gifting platform with brands like Moonpig, Red Letter Days, Buyagift, and Greetz.
"
TPK,,-1.13,7.339449541284404,-5.761945175349833,2.932551319648094,Travis Perkins plc,$1.5B,702.0,Industrials,"Travis Perkins plc is a UK-based distributor of building materials and home improvement products, also offering tool hire services.
"
GDWN,,-1.12,-5.347593582887701,31.917404237142797,1.1428571428571428,Goodwin PLC,$549.7M,7080.0,Industrials,"Goodwin PLC is a mechanical and refractory engineering company specializing in design, manufacture, and supply of related products and solutions.
"
CMCX,,-1.12,-8.902691511387163,33.74109535659435,-2.6548672566371683,CMC Markets Plc,$643.6M,220.0,Financial Services,"CMC Markets Plc is a UK-based online financial trading company providing retail and institutional clients access to trade various financial products, including CFDs and spread betting, across global markets.
"
ESNT,,-1.11,6.4846444109671095,-23.337594390476678,2.2950819672131124,Essentra plc,$358.2M,124.8,Basic Materials,"Essentra plc is a global provider of essential plastic, metal, and fiber components and solutions, including plastic injection molded products, with a global network across 28 countries.
"
BRBY,,-1.06,22.64546148417116,-5.403057244160789,-3.2204789430222958,Burberry Group plc,$4.4B,1172.0,Consumer Cyclical,"Burberry Group plc is a UK-based global luxury goods company that manufactures, retails, wholesales, and licenses apparel and accessories under the Burberry brand.
"
POLN,,-1.04,-2.0671834625323,48.61296467384167,-3.807106598984772,Pollen Street Group Limited,$478.7M,758.0,Financial Services,"Pollen Street Group is a listed alternative asset manager focused on investments in the financial and business services sectors.
"
VCT,,-1.03,0.2642568018928067,-25.34794005764627,-3.0211480362537766,Victrex plc,$876.5M,963.0,Basic Materials,"Victrex plc is a UK-based company that manufactures and sells high-performance polymers, predominantly PEEK, serving diverse industries like aerospace, medical, and automotive.
"
WWH,,-1.03,5.15625,5.349089663219054,0.44776119402985076,Worldwide Healthcare Ord,$1.7B,336.5,,"Worldwide Healthcare Ord is an investment trust focused on achieving capital growth by investing in the global healthcare sector, including pharmaceutical and biotechnology companies.
"
VEIL,,-1.02,-2.1775544388609713,0.17152658662092624,-1.5177065767284992,Vietnam Enterprise Ord,$1.1B,584.0,,"Vietnam Enterprise Investments Ltd (VEIL) is a closed-ended equity mutual fund that primarily invests in listed and pre-IPO companies in Vietnam.
"
JUST,,-0.98,12.033190291864955,100.65036163750824,0.7462667446939887,Just Group plc,$1.7B,162.0,Financial Services,"Just Group plc is a UK-based financial services company focused on the retirement income market, offering retirement-focused solutions and insurance products.
"
WOSG,,-0.98,18.259023354564754,34.411198890880435,-0.6244424620874219,Watches of Switzerland Group PLC,$1.3B,557.0,Consumer Cyclical,"Watches of Switzerland Group PLC is an international retailer of luxury watches and jewelry, operating under brands like Watches of Switzerland, Mappin & Webb, and Goldsmiths.
"
SYNC,,-0.98,-2.7926944325824157,-24.457430972768158,0.5555555555555556,Syncona Ord,$580.2M,90.5,,"Syncona Ord is a FTSE250 company that founds, builds, and funds healthcare companies to deliver transformational treatments.
"
IGG,,-0.95,0.26350745364048445,51.084978780314735,-2.6548672566371683,IG Group Holdings plc,$3.6B,990.0,Financial Services,"IG Group is a UK-based online trading provider offering spread betting and CFD trading on equities, bonds, and currencies.
"
PTEC,,-0.94,4.372355430183357,59.13978494623656,0.6802721088435374,Playtech plc,$2.3B,740.0,Consumer Cyclical,"Playtech plc provides software and services to the online gambling industry, offering platforms for online casinos, sports betting, and more.
"
CURY,,-0.93,17.195121951219505,107.82871217920429,3.556031077285265,Currys plc,$1.1B,96.1,Consumer Cyclical,"Currys plc is a leading omnichannel retailer of technology products and services, operating online and through stores in the UK, Ireland, and Nordics.
"
AJB,,-0.9,5.408653846153847,44.88736184481122,-1.3498312710911136,AJ Bell plc,$1.8B,438.5,Financial Services,"AJ Bell is a UK investment platform providing online investment solutions and services, including SIPPs and ISAs, to both advised and direct-to-consumer clients.
"
GRG,,-0.85,-0.9460737937559129,-21.70768596152542,-1.0396975425330812,Greggs plc,$2.2B,2094.0,Consumer Cyclical,"Greggs plc is a UK-based food-on-the-go retailer and bakery chain, offering a variety of fresh bakery goods, sandwiches, and drinks.
"
DRX,,-0.83,5.403225806451613,56.13260418573767,4.979919678714859,Drax Group plc,$2.3B,653.5,Utilities,"Drax Group plc is a renewable energy company engaged in power generation, sustainable biomass production, and electricity sales to businesses.
"
HFG,,-0.78,4.0887850467289715,20.464901802020965,2.768166089965398,Hilton Food Group plc,$795.9M,891.0,Consumer Defensive,"Hilton Food Group PLC is a specialist international food packing business that supplies meat, seafood, vegan, and vegetarian products to retailers.
"
TRY,,-0.77,4.748735244519388,3.3370724041868116,3.526666666666661,TR Property Ord,$990.4M,310.58,,"TR Property invests in property companies, property-related businesses, and UK investment property, primarily across the UK and Europe.
"
INCH,,-0.76,-9.23611111111111,5.418294339420524,-1.4328808446455505,Inchcape plc,$2.6B,653.5,Consumer Cyclical,"Inchcape plc is a global automotive distributor that operates in over 40 markets, distributing and retailing new and used luxury and premium vehicles.
"
KNOS,,-0.76,5.9459459459459465,-26.885345223183432,-1.507537688442211,Kainos Group plc,$1.0B,784.0,Technology,"Kainos Group PLC is a UK-based IT provider offering digital and Workday services and solutions to public, commercial, and healthcare sectors.
"
PCFT,,-0.72,6.8910369718369795,38.593965455645964,1.8209013466568287,Polar Capital Global Financials Ord,$624.6M,206.0,,"Polar Capital Global Financials Trust invests in global financial sector companies, including banks, insurers, asset managers, and fintechs, aiming for income and capital growth.
"
JMG,,-0.71,2.205879486143466,7.367813125044938,0.361008066087634,JPMorgan Emerging Markets Ord,$1.2B,111.2,,"JPMorgan Emerging Markets Ord aims to maximize total return from emerging markets worldwide through a diversified investment portfolio.
"
RSW,,-0.69,10.76923076923077,-9.596129093804437,1.2658227848101267,Renishaw plc,$2.6B,3600.0,Technology,"Renishaw PLC is a UK-based engineering company that designs, manufactures, and sells high-precision metrology and healthcare systems.
"
LRE,,-0.63,0.8,19.888190213228874,-1.2539184952978055,Lancashire Holdings Limited,$1.6B,630.0,Financial Services,"Lancashire Holdings Ltd is a global specialty insurance and reinsurance provider with operations in London, Bermuda, the U.S. and Australia.
"
WKP,,-0.63,8.786127167630058,-0.7855763967479348,1.7297297297297298,Workspace Group Plc,$913.4M,470.5,Real Estate,"Workspace Group PLC is a REIT that acquires, designs, develops, and owns office buildings, leasing workspace to small and medium-sized enterprises in London.
"
DLN,,-0.61,6.0,4.891302147708938,2.402088772845953,Derwent London Plc,$2.2B,1961.0,Real Estate,"Derwent London PLC is a UK-based REIT specializing in property investment, regeneration, and management of commercial real estate, primarily in central London.
"
HWG,,-0.6,4.375,29.82042229755978,0.3003003003003003,Harworth Group plc,$547.8M,167.0,Real Estate,"Harworth Group plc is a UK property developer specializing in brownfield regeneration, creating sustainable places for people to live and work in the North of England and the Midlands.
"
