,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
MNKS,Monks Ord,,$2.6B,"Monks Investment Trust PLC invests globally in quoted equities, prioritizing capital growth over income.
",1338.32,-0.27,,2.161832061068697,7.237179487179482,25.0757222859062
WOSG,Watches of Switzerland Group PLC,Consumer Cyclical,$1.3B,"Watches of Switzerland Group PLC is an international retailer of luxury watches and jewelry, operating under brands like Watches of Switzerland, Mappin & Webb, and Goldsmiths.
",569.5,-0.26,,1.9695613249776187,17.471125070077754,38.49707760058815
DEC,Diversified Energy Company PLC,Energy,$691.6M,"Diversified Energy Company PLC produces, markets, and transports natural gas and natural gas liquids, focusing on acquiring and managing long-life, low-decline wells in the US.
",1335.66,-0.25,,-0.39821029082773435,-2.292611558156541,63.997150736885246
BAB,Babcock International Group PLC,Industrials,$3.0B,"Babcock International Group PLC is a British engineering company specializing in defence, aerospace, and nuclear engineering, providing support services and managing complex assets.
",593.05,-0.24,,9.621072088724576,21.976549796438587,31.595114155161458
ROR,Rotork plc,Industrials,$2.9B,"Rotork plc is a UK-based company that designs and manufactures industrial flow control equipment, including actuators and related products, for various markets like oil & gas, water, and power.
",333.0,-0.24,,-2.2887288944702466,7.697279059948088,9.285532076887462
WG,John Wood Group PLC,Energy,$485.0M,"John Wood Group PLC is a global consulting and engineering company providing project, engineering, and technical services across various industries.
",68.24,-0.23,,-0.08785219484155402,9.009587321652226,-54.445928831909164
GCP,GCP Infrastructure Investment Ord,,$630.4M,"GCP Infrastructure Investments is a Jersey-based investment company focused on UK infrastructure debt and similar assets, aiming to provide long-term dividend income and preserve capital.
",73.84,-0.21,,4.8083298652995135,8.567600753371725,18.08320704032074
DOCS,Dr. Martens plc,Consumer Cyclical,$711.8M,"Dr. Martens plc designs, develops, markets, and distributes footwear (including boots, shoes, and sandals) and accessories under the Dr. Martens brand.
",72.6,-0.21,,2.397741096663558,9.833588011993262,-15.987046090276372
TFIF,TwentyFour Income Ord,,$814.3M,"TwentyFour Income Fund is a London-listed investment company that invests in less liquid, higher-yielding UK and European asset-backed securities, aiming for attractive risk-adjusted returns through income distribution.
",109.99,-0.19,,0.9082568807339403,3.370486005026474,13.244269411310212
PHI,Pacific Horizon Ord,,$525.8M,"Pacific Horizon Ord is a UK investment company focused on achieving capital growth by investing in companies listed in the Asia-Pacific region (excluding Japan) and the Indian Sub-continent.
",590.0,-0.17,,2.2530329289428077,2.7874564459930316,6.98533004656016
SPT,Spirent Communications plc,Technology,$1.1B,"Spirent Communications provides automated test and assurance solutions for networks, cybersecurity, and positioning technologies like 5G and the Internet of Things.
",185.7,-0.16,,0.37837837837837224,7.652173913043471,57.50635928468505
FGEN,Foresight Environmental Infra Ord,,$433.5M,"Foresight Environmental Infrastructure (formerly JLEN) invests in diversified environmental infrastructure assets that support decarbonization, resource efficiency, and environmental sustainability while aiming for financial returns.
",67.3,-0.15,,-4.534558212419668e-06,-1.7518248175182525,-25.832625807936832
SNR,Senior plc,Industrials,$663.6M,"Senior plc designs and manufactures high-technology components and systems for the aerospace, defense, land vehicle, and power & energy markets.
",157.0,-0.13,,-3.7990178089332174,-1.875,1.2035759183309338
ALPH,Alpha Group International plc,Financial Services,$1.1B,"Alpha Group International PLC is a UK-based financial services business providing FX risk management and alternative banking solutions to international corporates and institutions.
",2526.79,-0.13,,-0.5200787401574818,15.907798165137613,50.797361196356725
FGT,Finsbury Growth & Income Ord,,$1.4B,"Finsbury Growth & Income Trust PLC invests mainly in UK-listed companies to achieve capital and income growth, aiming to surpass the FTSE All-Share Index.
",951.88,-0.12,,-0.2222222222222227,6.593505039193729,15.51966562143737
IDS,International Distribution Services plc,Industrials,$3.5B,"International Distribution Services PLC provides postal and delivery services through its Royal Mail and GLS operations.
",365.0,-0.11,,0.10970759456619715,0.27472527472527475,39.65515208050834
VEIL,Vietnam Enterprise Ord,,$1.1B,"Vietnam Enterprise Investments Ltd (VEIL) is a closed-ended equity mutual fund that primarily invests in listed and pre-IPO companies in Vietnam.
",594.36,-0.11,,-0.44221105527637966,-0.10756302521008174,3.187500000000002
THRG,BlackRock Throgmorton Trust Ord,,$507.6M,"BlackRock Throgmorton Trust plc invests primarily in UK smaller and mid-capitalization companies traded on the London Stock Exchange, seeking long-term capital growth and an attractive total return for shareholders.
",594.42,-0.1,,-0.43216080402010737,7.296028880866419,1.9070579094825826
HILS,Hill & Smith PLC,Industrials,$1.6B,"Hill & Smith PLC designs, manufactures, and supplies infrastructure products and galvanizing services for various global markets.
",1936.0,-0.1,,-2.8112449799196786,9.131905298759865,8.367584876557444
RS1,RS Group plc,Industrials,$3.1B,"RS Group plc is a global distributor of industrial and electrical products and service solutions, offering over 600,000 products to over 1 million customers.
",626.5,-0.08,,-2.109375,-3.541185527328714,-15.53091445244696
ONT,Oxford Nanopore Technologies plc,Healthcare,$1.3B,"Oxford Nanopore Technologies develops and sells nanopore sequencing products for direct, electronic analysis of single molecules.
",131.9,-0.08,,-5.244250796181046,-7.568323180945392,-15.340181375874598
PIN,Pantheon International Ord,,$1.5B,"Pantheon International Plc (PIP) is a FTSE 250 investment trust providing exposure to a diversified portfolio of global private equity assets.
",318.9,-0.03,,-0.3437500000000071,0.2830188679245212,1.2380952380952308
DLG,Direct Line Insurance Group plc,Financial Services,$3.5B,"Direct Line Insurance Group is a UK-based company offering a range of general insurance products, including motor, home, and commercial, through brands like Direct Line and Churchill.
",268.15,-0.02,,1.0361741396980606,5.48780614446591,67.14613051500396
PPET,Patria Private Equity Trust,,$846.9M,"Patria Private Equity Trust invests in a diversified portfolio of private equity funds and direct investments in private companies, primarily with a European focus.
",562.88,-0.02,,0.3351158645276284,3.6611418047882127,12.059285224600334
STEM,SThree plc,Industrials,$345.2M,"SThree plc is a global specialist talent partner focused on providing permanent and flexible contract talent for roles in Science, Technology, Engineering and Mathematics (STEM).
",251.0,0.0,,-0.7905138339920948,-6.343283582089552,-38.93770133494488
BOWL,Hollywood Bowl Group plc,Consumer Cyclical,$481.0M,"Hollywood Bowl Group plc is a leading leisure operator of ten-pin bowling and mini-golf centers in the UK and Canada, offering entertainment, amusements, food and drink.
",273.5,0.0,,-1.618705035971223,1.4034836809380575,-7.62453253336868
FOUR,4imprint Group plc,Communication Services,$1.6B,"4imprint Group plc is a direct marketer and distributor of promotional products like apparel, stationery, and technology, primarily in North America and the UK & Ireland.
",5660.0,0.0,,-4.067796610169491,17.793964620187307,8.082897544524121
IBST,Ibstock plc,Basic Materials,$673.8M,"Ibstock plc manufactures and supplies clay bricks and concrete products to the UK construction industry.
",171.0,0.0,,2.8880885318262814,7.682617577951703,14.735138696895616
CMCX,CMC Markets Plc,Financial Services,$643.6M,"CMC Markets Plc is a UK-based online financial trading company providing retail and institutional clients access to trade various financial products, including CFDs and spread betting, across global markets.
",224.0,0.0,,-0.22271714922048996,-6.666666666666667,38.6189738897948
BRGE,BlackRock Greater Europe Ord,,$586.5M,"BlackRock Greater Europe Ord is a UK investment trust focused on achieving capital growth through a portfolio of European companies, including large, mid, and small capitalization businesses.
",605.04,0.01,,3.249146757679175,9.01621621621621,3.31951490882522
RICA,Ruffer Investment Company Ord,,$910.1M,"Ruffer Investment Company is a British investment company focused on investments in internationally listed equities and related securities, aiming for positive annual returns and capital preservation.
",277.05,0.02,,0.3804347826086998,4.547169811320758,6.126605291592395
BBH,Bellevue Healthcare Ord,,$369.5M,"Bellevue Healthcare Trust is a UK-based investment trust focused on investing in listed global healthcare companies, aiming for long-term capital growth and income for its shareholders.
",144.62,0.02,,-1.485015671960985,-2.018974241387,-0.2906616155266766
BRSC,BlackRock Smaller Companies Ord,,$627.4M,"BlackRock Smaller Companies Trust PLC invests in smaller UK companies listed on the London Stock Exchange to achieve long-term capital growth for shareholders.
",1346.59,0.04,,-0.25259259259259864,4.064142194744971,4.690739168503521
MONY,MONY Group plc,Communication Services,$1.0B,"MONY Group PLC operates a tech-led savings platform with brands like MoneySuperMarket and MoneySavingExpert, helping households save money by comparing prices and offering financial tools.
",186.7,0.05,,-2.506527415143609,0.05358729539852877,-19.316266459521046
TIFS,TI Fluid Systems plc,Consumer Cyclical,$959.4M,"TI Fluid Systems develops, manufactures, and supplies automotive fluid storage, carrying, delivery, and thermal management systems for all vehicle types.
",194.9,0.05,,-0.051282051282048366,0.46391752577319884,33.95214289384792
ELM,Elementis plc,Basic Materials,$930.2M,"Elementis plc is a UK-based specialty chemicals company manufacturing additives and chemicals for consumer and industrial applications.
",156.3,0.06,,0.8387096774193623,15.606511485229852,16.239484769895622
BBGI,BBGI Global Infrastructure Ord,,$1.0B,"BBGI Global Infrastructure invests in operational public-private partnership infrastructure assets, delivering long-term, sustainable returns and serving a social purpose.
",142.9,0.07,,16.748364557648152,20.08403361344538,23.78719708296065
BRWM,BlackRock World Mining Trust Ord,,$965.7M,"BlackRock World Mining Trust aims to provide a diversified investment in mining and metal assets worldwide, actively managed to maximize total returns, including royalties and physical metals.
",505.43,0.08,,3.1489795918367363,3.1489795918367363,6.730577943165117
IEM,Impax Environmental Markets Ord,,$941.1M,"Impax Environmental Markets invests in companies providing, utilizing, or advising on technology-based systems, products, or services in environmental markets, like alternative energy and pollution control.
",395.37,0.09,,-0.10457083736151335,3.2597799417462867,5.34533528691281
AGT,AVI Global Trust Ord,,$1.1B,"AVI Global Trust is a UK-based investment trust aiming for capital growth by investing in undervalued companies, particularly those with share prices discounted to net asset value.
",244.24,0.1,,1.3443983402489665,1.555093555093559,9.547278443687315
NESF,NextEnergy Solar Ord,,$401.6M,"NextEnergy Solar Fund is a specialist investment company focused on solar energy and energy storage assets, primarily utility-scale, and is listed on the London Stock Exchange.
",69.17,0.11,,6.251922613326692,12.106967819597592,0.2588149792664856
RPI,Raspberry Pi Holdings plc,Technology,$1.4B,"Raspberry Pi Holdings plc designs and manufactures single-board computers (SBCs) and compute modules for industrial IoT, embedded uses, education, and enthusiasts.
",740.35,0.11,,1.1407103825136644,31.617777777777782,
TEM,Templeton Emerging Mkts Invmt Tr TEMIT,,$1.8B,"Templeton Emerging Markets Investment Trust (TEMIT) aims to achieve long-term capital growth by investing in emerging market companies or those with significant emerging market revenues.
",171.4,0.12,,1.4201183431952698,4.384898407779718,20.554460325018923
GEN,Genuit Group plc,Industrials,$971.8M,"Genuit Group plc provides sustainable water, climate, and ventilation solutions for the built environment, helping customers adapt to climate change and meet sustainability targets.
",382.0,0.13,,-1.5463917525773196,9.928057553956835,-0.9090021748383872
SYNC,Syncona Ord,,$580.2M,"Syncona Ord is a FTSE250 company that founds, builds, and funds healthcare companies to deliver transformational treatments.
",92.62,0.13,,1.113538802260005,-0.08629660288645769,-22.816666666666663
RSW,Renishaw plc,Technology,$2.6B,"Renishaw PLC is a UK-based engineering company that designs, manufactures, and sells high-precision metrology and healthcare systems.
",3520.0,0.14,,1.2949640287769784,6.990881458966565,-12.464971071327724
FSV,Fidelity Special Values Ord,,$1.1B,"Fidelity Special Values Ord is a British investment trust that invests in undervalued UK-listed companies, aiming for long-term capital growth.
",327.5,0.15,,2.0249221183800623,7.377049180327869,25.81544234394852
PNL,Personal Assets Ord,,$1.6B,"Personal Assets Trust PLC aims to protect and increase shareholders' funds over the long term by investing in equities, fixed income, cash, and gold.
",511.75,0.15,,-0.048828125,1.9422310756972112,10.033478502426094
HTG,Hunting PLC,Energy,$545.8M,"Hunting PLC specializes in manufacturing, trading, and renting equipment for the energy industry, serving oil and gas companies globally.
",335.0,0.15,,-3.1791907514450863,9.120521172638437,16.367225964929165
LRE,Lancashire Holdings Limited,Financial Services,$1.6B,"Lancashire Holdings Ltd is a global specialty insurance and reinsurance provider with operations in London, Bermuda, the U.S. and Australia.
",643.0,0.16,,0.31201248049922,4.0453074433656955,21.018498351791248
SAIN,Scottish American Ord,,$918.6M,"Scottish American Ord is a UK-based investment trust aiming to grow dividends faster than inflation through global equities, bonds, property, and other assets.
",520.84,0.16,,0.35452793834297336,5.433198380566808,8.489668461935814
ZIG,Zigup Plc,Industrials,$699.9M,"Zigup Plc is an integrated mobility solutions platform offering vehicle rental, fleet management, accident management, and repair services across the UK, Ireland, and Spain.
",315.5,0.16,,2.768729641693811,7.679180887372014,0.4799433332332257
QQ,QinetiQ Group plc,Industrials,$2.0B,"QinetiQ Group plc is a global defense and security company providing technology and services primarily in the defense, security, and critical national infrastructure markets.
",362.0,0.17,,-2.5834246355855486,-10.351656527141827,-0.005310788166484948
DSCV,discoverIE Group plc,Technology,$592.7M,"discoverIE Group plc designs and manufactures customized electronic components for industrial applications.
",600.0,0.17,,-2.912621359223301,-5.213270142180095,-14.603931690442378
JGGI,JPMorgan Global Growth & Income Ord,,$3.1B,"JPMorgan Global Growth & Income Ord aims to provide superior total returns by investing in companies worldwide, outperforming the MSCI All Country World Index over the long term.
",604.0,0.17,,1.0033444816053512,3.4246575342465753,18.021847540452203
CRST,Crest Nicholson Holdings plc,Consumer Cyclical,$443.7M,"Crest Nicholson Holdings plc is a UK-based residential housebuilder focused on creating well-designed, high-quality homes.
",171.7,0.18,,-1.941750990862685,9.782612979922586,-13.620925532808304
CHRY,Chrysalis Investments Limited Ord,,$579.3M,"Chrysalis Investments is a Guernsey-based investment company focused on generating long-term capital growth by investing in equity or equity-related investments in both unquoted and listed companies.
",104.39,0.19,,3.767397200163843,6.087396728897146,22.09356725146199
EDIN,Edinburgh Investment Ord,,$1.1B,"Edinburgh Investment Trust aims to increase net asset value per share and dividends by investing primarily in UK securities, with up to 20% in international stocks.
",765.5,0.2,,0.9894459102902375,6.113226511825257,22.28661041318056
JFJ,JPMorgan Japanese Ord,,$983.7M,"JPMorgan Japanese Ord is a UK-based investment trust seeking capital growth by investing in a portfolio of Japanese companies.
",603.43,0.24,,1.758853288364241,7.755357142857133,19.526214900740044
ASC,ASOS Plc,Consumer Cyclical,$481.3M,"ASOS Plc is a UK-based global online fashion and cosmetic retailer targeting young adults, offering over 850 brands, including its own, and shipping to 196 countries.
",396.8,0.25,,-2.314133905599259,3.495045987698569,0.8386277001270678
HGT,HgCapital Trust Ord,,$2.4B,"HgCapital Trust invests in unquoted software and service companies, aiming for long-term returns exceeding the FTSE All-Share Index.
",518.36,0.26,,-0.6973180076628327,0.8482490272373567,27.118952724777728
BAKK,Bakkavor Group plc,Consumer Defensive,$790.8M,"Bakkavor Group plc is a UK-based provider of fresh prepared foods (FPF) like meals, breads, soups, and salads, with operations in the UK, US, and China.
",140.38,0.27,,3.985185185185182,7.570881226053635,59.75243222396455
RHIM,RHI Magnesita N.V.,Industrials,$1.7B,"RHI Magnesita N.V. is a global supplier of refractory products, systems, and services essential for high-temperature industrial processes.
",3630.0,0.28,,4.913294797687861,11.692307692307692,8.975596498997133
HSL,Henderson Smaller Companies Ord,,$598.9M,"Henderson Smaller Companies Ord is a UK investment company focused on maximizing shareholder returns by investing primarily in smaller, quoted UK companies.
",806.25,0.28,,-0.14791557564315458,6.797170670523016,8.831906625493291
GRG,Greggs plc,Consumer Cyclical,$2.2B,"Greggs plc is a UK-based food-on-the-go retailer and bakery chain, offering a variety of fresh bakery goods, sandwiches, and drinks.
",2098.0,0.29,,-0.9442870632672332,0.7684918347742555,-20.03498826590338
NAS,North Atlantic Smaller Cos Ord,,$490.5M,"North Atlantic Smaller Companies Investment Trust PLC aims for capital appreciation by investing in smaller, listed and unquoted companies, primarily in countries bordering the North Atlantic Ocean.
",3660.5,0.29,,-1.0675675675675675,1.3988919667590027,-0.5704196658970528
3IN,3i Infrastructure Ord,,$3.0B,"3i Infrastructure is a listed investment company that invests in infrastructure businesses, mainly in Europe and Asia, focusing on utilities, transportation and social infrastructure.
",318.45,0.3,,0.45741324921135285,2.7258064516128995,1.7388036047328193
GSCT,The Global Smaller Companies Trust Ord,,$748.4M,"The Global Smaller Companies Trust aims to achieve high total returns by investing in smaller companies worldwide, diversifying its portfolio across sectors and markets.
",162.9,0.3,,0.3078855432927789,2.4528301886792487,15.60074559229304
ICGT,ICG Enterprise Trust Ord,,$847.6M,"ICG Enterprise Trust is a UK-based investment company that invests in private equity funds and directly in private companies, seeking long-term growth.
",1318.02,0.31,,-0.9007518796992495,3.7811023622047233,16.80144126820178
PRSR,PRS REIT Ord,,$616.6M,"PRS REIT invests in newly constructed UK residential rental homes, targeting the family market, to provide investors with income and capital growth.
",109.94,0.31,,0.8623853211009154,5.105164057148686,46.96878490941362
BMY,Bloomsbury Publishing Plc,Communication Services,$535.9M,"Bloomsbury Publishing Plc is a global publisher of fiction, non-fiction, academic, and educational books for a wide range of audiences.
",656.0,0.31,,-0.6060606060606061,8.970099667774086,36.36441087999285
JTC,JTC PLC,Financial Services,$1.6B,"JTC PLC is a global professional services business providing fund, corporate, and private client services to institutional and private clients.
",951.0,0.32,,-0.9375,0.42238648363252373,25.3087362987159
FXPO,Ferrexpo plc,Basic Materials,$538.9M,"Ferrexpo plc is a Swiss-based commodity trading and mining company, and the third largest exporter of iron ore pellets in the world, with operations based in central Ukraine.
",95.5,0.32,,-7.818531460832448,0.7383933815487446,9.770114942528735
N91,Ninety One Group,Financial Services,$1.3B,"Ninety One is a global investment manager offering active strategies across equities, fixed income, multi-asset, and alternative investments to institutions and advisors.
",150.0,0.33,,-1.05541295455035,7.142857142857142,-7.5830954454797705
CKN,Clarkson PLC,Industrials,$1.3B,"Clarkson PLC provides integrated shipping services and investment banking to the shipping and offshore markets, facilitating global trade.
",4375.0,0.34,,1.5081206496519721,4.166666666666666,28.887723401191668
MTO,Mitie Group plc,Industrials,$1.4B,"Mitie Group PLC is a British strategic outsourcing and energy services company, providing facilities and property management, infrastructure consultancy, and technical services.
",116.8,0.34,,1.3888915747772714,7.352938165301764,18.855607514329204
TCAP,TP ICAP Group PLC,Financial Services,$2.0B,"TP ICAP Group PLC is a UK-based liquidity and data solutions company, providing intermediary services and data-led solutions across financial, energy, and commodities markets.
",271.0,0.37,,-0.1841620626151013,4.835589941972921,61.85816325712257
QLT,Quilter plc,Financial Services,$2.2B,"Quilter plc is a UK-based wealth management company providing financial advice, investment platforms, and investment management services.
",159.3,0.38,,-0.25046772441192516,13.785714285714294,64.00679944504137
FEV,Fidelity European Trust Ord,,$1.6B,"Fidelity European Trust PLC aims for long-term capital and income growth by primarily investing in continental European equities.
",389.0,0.39,,3.183023872679045,9.423347398030943,10.776060190626827
NBPE,NB Private Equity Partners Class A Ord,,$673.0M,"NB Private Equity Partners is a closed-ended investment company that invests in direct private equity, co-investing alongside private equity sponsors.
",1558.0,0.39,,1.564537157757497,3.0423280423280423,3.8410613268375395
CCR,C&C Group plc,Consumer Defensive,$549.7M,"C&C Group plc is a premium drinks company that manufactures, markets, and distributes branded beer, cider, wine, spirits, and soft drinks across the UK and Ireland, with a presence in Europe, Asia-Pacific, North America, and Australia.
",149.0,0.4,,3.90516481301811,7.194244604316546,3.2455503085620565
PCFT,Polar Capital Global Financials Ord,,$624.6M,"Polar Capital Global Financials Trust invests in global financial sector companies, including banks, insurers, asset managers, and fintechs, aiming for income and capital growth.
",207.33,0.4,,2.4782887194289396,8.810015572454684,40.59581527198498
CWK,Cranswick plc,Consumer Defensive,$2.7B,"Cranswick plc is a UK-based food producer, manufacturing and supplying premium food products like fresh pork and chicken to retailers and the food service sector.
",4975.0,0.4,,-0.40040040040040037,6.076759061833688,27.3002404933534
GNS,Genus plc,Healthcare,$1.2B,"Genus PLC is an animal genetics company supplying elite breeding animals, semen, and embryos to cattle and pig farmers, enabling them to produce quality meat and milk.
",1793.26,0.41,,-5.518440463645943,21.166216216216217,-13.980148615444685
PTEC,Playtech plc,Consumer Cyclical,$2.3B,"Playtech plc provides software and services to the online gambling industry, offering platforms for online casinos, sports betting, and more.
",740.0,0.41,,0.13531799729364005,5.413105413105413,60.520607375271155
IHP,IntegraFin Holdings plc,Financial Services,$1.2B,"IntegraFin Holdings plc operates Transact, a UK investment platform providing financial planning infrastructure to financial advisors and their clients.
",359.0,0.42,,-0.9655172413793104,11.66407465007776,37.53385380953199
DIG,Dunedin Income Growth Ord,,$384.9M,"Dunedin Income Growth aims to achieve income and capital growth by investing mainly in UK-listed companies that meet its sustainable and responsible investing criteria.
",282.19,0.42,,0.8541859582923498,7.704651608114863,9.69535688174274
ALFA,Alfa Financial Software Holdings PLC,Technology,$663.7M,"Alfa Financial Software Holdings PLC provides software and services, including its Alfa Systems platform, to the auto and equipment finance industry globally.
",231.0,0.43,,2.666666666666667,14.074074074074074,35.037182729231056
PAY,PayPoint plc,Technology,$503.1M,"PayPoint PLC is a UK-based company providing multichannel payment solutions and retail services through its network of retail locations and digital platforms.
",693.0,0.43,,0.2894356005788712,3.278688524590164,41.51793501519146
ROO,Deliveroo plc,Consumer Cyclical,$2.0B,"Deliveroo is a UK-based online food delivery platform connecting consumers, riders, and restaurants.
",137.3,0.44,,3.622641509433971,6.682209211874643,16.355932203389838
VOF,VinaCapital Vietnam Opp Fund Ord,,$658.9M,"VinaCapital Vietnam Opp Fund Ord aims for medium to long-term returns by investing in Vietnam-based assets or companies with a majority of their operations in Vietnam.
",456.0,0.44,,-0.5452562704471101,-2.355460385438972,4.567657733868029
