Ticker,Company Name,Sector,Market Cap,Summary
BUT,Brunner Ord,N/A,$619.1M,"Brunner Ord is a UK-based investment company aiming for long-term growth in capital and dividends by investing in a global portfolio of equities.
"
BRBY,Burberry Group plc,Consumer Cyclical,$4.4B,"Burberry Group plc is a UK-based global luxury goods company that manufactures, retails, wholesales, and licenses apparel and accessories under the Burberry brand.
"
BYIT,Bytes Technology Group plc,Technology,$1.1B,"Bytes Technology Group PLC is a UK-based IT company that provides software, security, and cloud solutions to both public and private sectors.
"
CCR,C&C Group plc,Consumer Defensive,$549.7M,"C&C Group plc is a premium drinks company that manufactures, markets, and distributes branded beer, cider, wine, spirits, and soft drinks across the UK and Ireland, with a presence in Europe, Asia-Pacific, North America, and Australia.
"
CAML,Central Asia Metals plc,Basic Materials,$276.6M,"Central Asia Metals plc is a base metals producer with copper operations in Kazakhstan, and zinc and lead mine in North Macedonia.
"
CGT,Capital Gearing Ord,N/A,$912.8M,"Capital Gearing Trust is a UK investment trust aiming to preserve and grow shareholders' wealth through diverse asset allocations, including bonds, equities, and gold.
"
CCL,Carnival Corporation & plc,Consumer Cyclical,$25.8B,"Carnival Corporation & plc is a global cruise and vacation company with a portfolio of cruise lines, offering cruises to various destinations.
"
CHG,Chemring Group PLC,Industrials,$849.3M,"Chemring Group PLC is a global business providing advanced technology products and services to the aerospace, defence and security markets.
"
CHRY,Chrysalis Investments Limited Ord,N/A,$579.3M,"Chrysalis Investments is a Guernsey-based investment company focused on generating long-term capital growth by investing in equity or equity-related investments in both unquoted and listed companies.
"
CTY,City of London Ord,N/A,$2.2B,"City of London Investment Trust PLC aims for long-term growth in income and capital by investing in equities listed on the London Stock Exchange.
"
CKN,Clarkson PLC,Industrials,$1.3B,"Clarkson PLC provides integrated shipping services and investment banking to the shipping and offshore markets, facilitating global trade.
"
CMCX,CMC Markets Plc,Financial Services,$643.6M,"CMC Markets Plc is a UK-based online financial trading company providing retail and institutional clients access to trade various financial products, including CFDs and spread betting, across global markets.
"
COA,Coats Group plc,Consumer Cyclical,$1.5B,"Coats Group plc is a global leader in industrial thread and structural components for apparel, footwear, and performance materials.
"
CCC,Computacenter plc,Technology,$2.4B,"Computacenter plc is a UK-based IT services provider that helps clients source, transform, and manage digital technology.
"
CWK,Cranswick plc,Consumer Defensive,$2.7B,"Cranswick plc is a UK-based food producer, manufacturing and supplying premium food products like fresh pork and chicken to retailers and the food service sector.
"
CRST,Crest Nicholson Holdings plc,Consumer Cyclical,$443.7M,"Crest Nicholson Holdings plc is a UK-based residential housebuilder focused on creating well-designed, high-quality homes.
"
CURY,Currys plc,Consumer Cyclical,$1.1B,"Currys plc is a leading omnichannel retailer of technology products and services, operating online and through stores in the UK, Ireland, and Nordics.
"
ROO,Deliveroo plc,Consumer Cyclical,$2.0B,"Deliveroo is a UK-based online food delivery platform connecting consumers, riders, and restaurants.
"
DLN,Derwent London Plc,Real Estate,$2.2B,"Derwent London PLC is a UK-based REIT specializing in property investment, regeneration, and management of commercial real estate, primarily in central London.
"
DLG,Direct Line Insurance Group plc,Financial Services,$3.5B,"Direct Line Insurance Group is a UK-based company offering a range of general insurance products, including motor, home, and commercial, through brands like Direct Line and Churchill.
"
DSCV,discoverIE Group plc,Technology,$592.7M,"discoverIE Group plc designs and manufactures customized electronic components for industrial applications.
"
DEC,Diversified Energy Company PLC,Energy,$691.6M,"Diversified Energy Company PLC produces, markets, and transports natural gas and natural gas liquids, focusing on acquiring and managing long-life, low-decline wells in the US.
"
DOM,Domino's Pizza Group plc,Consumer Cyclical,$1.1B,"Domino's Pizza Group plc operates and franchises Domino's pizza delivery stores in the United Kingdom and the Republic of Ireland.
"
DRX,Drax Group plc,Utilities,$2.3B,"Drax Group plc is a renewable energy company engaged in power generation, sustainable biomass production, and electricity sales to businesses.
"
DOCS,Dr. Martens plc,Consumer Cyclical,$711.8M,"Dr. Martens plc designs, develops, markets, and distributes footwear (including boots, shoes, and sandals) and accessories under the Dr. Martens brand.
"
DNLM,Dunelm Group plc,Consumer Cyclical,$2.0B,"Dunelm Group plc is a UK-based homewares retailer offering a wide range of furniture, home furnishings and related services through its stores and online platform.
"
EDIN,Edinburgh Investment Ord,N/A,$1.1B,"Edinburgh Investment Trust aims to increase net asset value per share and dividends by investing primarily in UK securities, with up to 20% in international stocks.
"
EWI,Edinburgh Worldwide Ord,N/A,$721.9M,"Edinburgh Worldwide is a UK investment trust aiming for long-term capital growth by investing in listed companies globally, particularly smaller companies with disruptive growth potential.
"
ELM,Elementis plc,Basic Materials,$930.2M,"Elementis plc is a UK-based specialty chemicals company manufacturing additives and chemicals for consumer and industrial applications.
"
ESP,Empiric Student Property Plc,Real Estate,$561.1M,"Empiric Student Property Plc is a UK-based real estate investment trust that owns, operates, and develops modern, direct-let, premium student accommodation, primarily studio-led, in key university cities.
"
ENOG,Energean plc,Energy,$1.8B,"Energean plc is an exploration and production company focused on natural gas in the Mediterranean and UK North Sea.
"
ESNT,Essentra plc,Basic Materials,$358.2M,"Essentra plc is a global provider of essential plastic, metal, and fiber components and solutions, including plastic injection molded products, with a global network across 28 countries.
"
JEO,N/A,N/A,N/A,"Unfortunately, I cannot provide a summary of the business of a UK company called ""N/A"" because ""N/A"" typically means ""Not Applicable"" or that the information is not available."
TRG,The European Smaller Companies Trust PLC,N/A,N/A,"The European Smaller Companies Trust PLC seeks capital growth by investing in smaller and medium-sized European companies (excluding the UK).
"
FXPO,Ferrexpo plc,Basic Materials,$538.9M,"Ferrexpo plc is a Swiss-based commodity trading and mining company, and the third largest exporter of iron ore pellets in the world, with operations based in central Ukraine.
"
FCSS,Fidelity China Special Ord,N/A,$1.2B,"Fidelity China Special Ord is a UK investment company aiming for long-term capital growth by investing in securities of Chinese companies, both listed and unlisted, and those with significant Chinese interests.
"
FEML,Fidelity Emerging Markets Ord,N/A,$492.0M,"Fidelity Emerging Markets Ord aims for long-term growth by investing primarily in emerging market companies.
"
FEV,Fidelity European Trust Ord,N/A,$1.6B,"Fidelity European Trust PLC aims for long-term capital and income growth by primarily investing in continental European equities.
"
FSV,Fidelity Special Values Ord,N/A,$1.1B,"Fidelity Special Values Ord is a British investment trust that invests in undervalued UK-listed companies, aiming for long-term capital growth.
"
FGT,Finsbury Growth & Income Ord,N/A,$1.4B,"Finsbury Growth & Income Trust PLC invests mainly in UK-listed companies to achieve capital and income growth, aiming to surpass the FTSE All-Share Index.
"
FGP,FirstGroup plc,Industrials,$966.4M,"FirstGroup plc is a British transport group operating bus and rail services in the UK and Republic of Ireland.
"
FGEN,Foresight Environmental Infra Ord,N/A,$433.5M,"Foresight Environmental Infrastructure (formerly JLEN) invests in diversified environmental infrastructure assets that support decarbonization, resource efficiency, and environmental sustainability while aiming for financial returns.
"
FSG,Foresight Group Holdings Limited,Financial Services,$465.8M,"Foresight Group Holdings Limited is an infrastructure and private equity investment manager, operating through Infrastructure, Private Equity, and Foresight Capital Management segments.
"
FSFL,Foresight Solar Ord,N/A,$413.0M,"Foresight Solar Fund invests in ground-based solar power plants and battery storage assets, primarily in the UK, aiming to provide sustainable returns and facilitate the transition to a lower carbon economy.
"
FRAS,Frasers Group Plc,Consumer Cyclical,$2.8B,"Frasers Group PLC is a retailer of sports, fitness, fashion, and lifestyle products with brands like Sports Direct, Flannels, and House of Fraser.
"
FUTR,Future plc,Communication Services,$1.0B,"Future plc is a specialist media company operating a global platform for creating and distributing content.
"
GCP,GCP Infrastructure Investment Ord,N/A,$630.4M,"GCP Infrastructure Investments is a Jersey-based investment company focused on UK infrastructure debt and similar assets, aiming to provide long-term dividend income and preserve capital.
"
GEN,Genuit Group plc,Industrials,$971.8M,"Genuit Group plc provides sustainable water, climate, and ventilation solutions for the built environment, helping customers adapt to climate change and meet sustainability targets.
"
GNS,Genus plc,Healthcare,$1.2B,"Genus PLC is an animal genetics company supplying elite breeding animals, semen, and embryos to cattle and pig farmers, enabling them to produce quality meat and milk.
"
GSCT,The Global Smaller Companies Trust Ord,N/A,$748.4M,"The Global Smaller Companies Trust aims to achieve high total returns by investing in smaller companies worldwide, diversifying its portfolio across sectors and markets.
"
GDWN,Goodwin PLC,Industrials,$549.7M,"Goodwin PLC is a mechanical and refractory engineering company specializing in design, manufacture, and supply of related products and solutions.
"
GFTU,Grafton Group plc,Industrials,$1.8B,"Grafton Group plc is an international distributor of building materials and a DIY retailer with operations in the UK, Ireland, the Netherlands, Finland, and Spain.
"
GRI,Grainger plc,Real Estate,$1.6B,"Grainger plc designs, builds, owns, and operates rental homes across the UK, focusing on the private rented sector.
"
GPOR,N/A,N/A,N/A,"Please provide the name of the UK company you're asking about so I can summarise its business. ""N/A"" means ""not applicable"" and doesn't give me any information to work with.
"
UKW,Greencoat UK Wind,N/A,$2.7B,"Greencoat UK Wind is a British investment company that invests solely in UK wind farms, providing investors with annual dividends that increase with RPI inflation.
"
GNC,Greencore Group plc,Consumer Defensive,$928.8M,"Greencore Group plc is a UK-based convenience food manufacturer, supplying chilled and frozen foods like sandwiches, salads, and ready meals to major retailers.
"
GRG,Greggs plc,Consumer Cyclical,$2.2B,"Greggs plc is a UK-based food-on-the-go retailer and bakery chain, offering a variety of fresh bakery goods, sandwiches, and drinks.
"
HMSO,Hammerson Plc,Real Estate,$1.4B,"Hammerson PLC is a real estate investment trust that owns, operates, and develops prime urban properties, including shopping centers and retail villages, in the UK, Ireland, and France.
"
HBR,Harbour Energy plc,Energy,$3.3B,"Harbour Energy PLC is an independent oil and gas company involved in the acquisition, exploration, development, and production of oil and gas reserves, primarily in the North Sea and Southeast Asia.
"
HVPE,HarbourVest Global Priv Equity Ord,N/A,$2.1B,"HarbourVest Global Private Equity invests in a diversified global portfolio of private companies through HarbourVest-managed funds, seeking long-term capital appreciation.
"
HWG,Harworth Group plc,Real Estate,$547.8M,"Harworth Group plc is a UK property developer specializing in brownfield regeneration, creating sustainable places for people to live and work in the North of England and the Midlands.
"
HAS,Hays plc,Industrials,$1.2B,"Hays plc is a global recruitment company placing candidates in permanent, temporary, and contractual roles across various sectors.
"
HTWS,Helios Towers plc,Communication Services,$1.0B,"Helios Towers is a UK-based independent telecommunications infrastructure company focused on owning and operating towers in Africa and the Middle East.
"
HNE,N/A,N/A,N/A,"N/A Business Services offers outsourced business support, including virtual PA, financial management, and event management, to small businesses.
"
HSL,Henderson Smaller Companies Ord,N/A,$598.9M,"Henderson Smaller Companies Ord is a UK investment company focused on maximizing shareholder returns by investing primarily in smaller, quoted UK companies.
"
HRI,Herald Ord,N/A,$1.2B,"Herald Ord is a UK-based investment trust focused on achieving capital appreciation through investments in smaller technology and communications companies worldwide.
"
HGT,HgCapital Trust Ord,N/A,$2.4B,"HgCapital Trust invests in unquoted software and service companies, aiming for long-term returns exceeding the FTSE All-Share Index.
"
HICL,HICL Infrastructure PLC Ord,N/A,$2.4B,"HICL Infrastructure PLC is a UK-based investment company focused on long-term infrastructure assets, aiming to provide sustainable income and capital growth.
"
HILS,Hill & Smith PLC,Industrials,$1.6B,"Hill & Smith PLC designs, manufactures, and supplies infrastructure products and galvanizing services for various global markets.
"
HFG,Hilton Food Group plc,Consumer Defensive,$795.9M,"Hilton Food Group PLC is a specialist international food packing business that supplies meat, seafood, vegan, and vegetarian products to retailers.
"
HOC,Hochschild Mining plc,Basic Materials,$947.6M,"Hochschild Mining PLC is a precious metals company focused on the exploration, mining, processing, and sale of gold and silver in the Americas.
"
BOWL,Hollywood Bowl Group plc,Consumer Cyclical,$481.0M,"Hollywood Bowl Group plc is a leading leisure operator of ten-pin bowling and mini-golf centers in the UK and Canada, offering entertainment, amusements, food and drink.
"
HTG,Hunting PLC,Energy,$545.8M,"Hunting PLC specializes in manufacturing, trading, and renting equipment for the energy industry, serving oil and gas companies globally.
"
IBST,Ibstock plc,Basic Materials,$673.8M,"Ibstock plc manufactures and supplies clay bricks and concrete products to the UK construction industry.
"
ICGT,ICG Enterprise Trust Ord,N/A,$847.6M,"ICG Enterprise Trust is a UK-based investment company that invests in private equity funds and directly in private companies, seeking long-term growth.
"
IGG,IG Group Holdings plc,Financial Services,$3.6B,"IG Group is a UK-based online trading provider offering spread betting and CFD trading on equities, bonds, and currencies.
"
IEM,Impax Environmental Markets Ord,N/A,$941.1M,"Impax Environmental Markets invests in companies providing, utilizing, or advising on technology-based systems, products, or services in environmental markets, like alternative energy and pollution control.
"
INCH,Inchcape plc,Consumer Cyclical,$2.6B,"Inchcape plc is a global automotive distributor that operates in over 40 markets, distributing and retailing new and used luxury and premium vehicles.
"
IHP,IntegraFin Holdings plc,Financial Services,$1.2B,"IntegraFin Holdings plc operates Transact, a UK investment platform providing financial planning infrastructure to financial advisors and their clients.
"
IDS,International Distribution Services plc,Industrials,$3.5B,"International Distribution Services PLC provides postal and delivery services through its Royal Mail and GLS operations.
"
INPP,International Public Partnerships Ord,N/A,$2.3B,"International Public Partnerships invests in public and social infrastructure assets globally, including the UK, Europe, Australia, and North America.
"
INVP,Investec Group,Financial Services,$3.3B,"Investec Group is an Anglo-South African international banking and wealth management group providing financial products and services in Europe, Southern Africa, and Asia-Pacific.
"
IPO,IP Group Plc,Financial Services,$511.4M,"IP Group PLC is a UK-based investor that develops and supports early-stage science and technology businesses, particularly in deep tech, life sciences, and clean technology.
"
IPL,N/A,N/A,N/A,"I am unable to summarise the business of UK company N/A, as ""N/A"" does not refer to a specific company but rather signifies that the information is not applicable or unavailable.
"
ITV,ITV plc,Communication Services,$2.8B,"ITV plc is a vertically integrated producer, broadcaster, and streamer creating, owning, and distributing content globally through ITV Studios and its Media & Entertainment division.
"
IWG,International Workplace Group plc,Real Estate,$1.8B,"International Workplace Group (IWG) provides flexible workspace solutions globally, operating a network of business centers with brands like Regus and Spaces.
"
JLEN,Foresight Environmental Infra Ord,N/A,N/A,"Foresight Environmental Infra Ord invests in diversified environmental infrastructure, supporting decarbonization, resource efficiency, and sustainability while aiming for financial returns.
"
JMAT,Johnson Matthey Plc,Basic Materials,$2.4B,"Johnson Matthey is a specialty chemicals and sustainable technologies company focused on transforming energy, reducing emissions, and advanced metals chemistry.
"
JAM,JPMorgan American Ord,N/A,$2.1B,"JPMorgan American Ord aims to achieve capital growth from North American investments by outperforming the S&P 500 index, investing predominantly in quoted companies.
"
JMG,JPMorgan Emerging Markets Ord,N/A,$1.2B,"JPMorgan Emerging Markets Ord aims to maximize total return from emerging markets worldwide through a diversified investment portfolio.
"
JESC,N/A,N/A,N/A,"N/A is too ambiguous. To provide a business summary, I need a specific company name. There are multiple companies with a similar name, such as ""N & A LONDON LIMITED"" which retails fruits, vegetables, fish, crustaceans, and molluscs.
"
JGGI,JPMorgan Global Growth & Income Ord,N/A,$3.1B,"JPMorgan Global Growth & Income Ord aims to provide superior total returns by investing in companies worldwide, outperforming the MSCI All Country World Index over the long term.
"
JII,JPMorgan Indian Ord,N/A,$685.5M,"JPMorgan Indian Investment Trust plc aims to achieve capital growth by investing in a diversified portfolio of quoted Indian companies, seeking to outperform the MSCI India Index.
"
JFJ,JPMorgan Japanese Ord,N/A,$983.7M,"JPMorgan Japanese Ord is a UK-based investment trust seeking capital growth by investing in a portfolio of Japanese companies.
"
JTC,JTC PLC,Financial Services,$1.6B,"JTC PLC is a global professional services business providing fund, corporate, and private client services to institutional and private clients.
"
JUP,Jupiter Fund Management Plc,Financial Services,$412.5M,"Jupiter Fund Management is a UK-based asset manager providing equity and bond investments for private and institutional clients through various funds and mandates.
"
JUST,Just Group plc,Financial Services,$1.7B,"Just Group plc is a UK-based financial services company focused on the retirement income market, offering retirement-focused solutions and insurance products.
"
KNOS,Kainos Group plc,Technology,$1.0B,"Kainos Group PLC is a UK-based IT provider offering digital and Workday services and solutions to public, commercial, and healthcare sectors.
"
KLR,Keller Group plc,Industrials,$987.2M,"Keller Group PLC is a geotechnical specialist contractor providing advanced foundation and ground improvement techniques across the construction sector.
"
KIE,Kier Group plc,Industrials,$678.2M,"Kier Group PLC is a British infrastructure, construction, services, and property group.
"
LRE,Lancashire Holdings Limited,Financial Services,$1.6B,"Lancashire Holdings Ltd is a global specialty insurance and reinsurance provider with operations in London, Bermuda, the U.S. and Australia.
"
LWDB,Law Debenture Corporation Ord,N/A,$1.2B,"Law Debenture Corporation is a UK investment trust providing diversified investments and independent professional services like pension trusteeship and corporate secretarial services.
"
EMG,Man Group Plc,Financial Services,$2.5B,"Man Group plc is a technology-empowered active investment management firm providing investment funds in liquid and private markets for institutional and private investors.
"
MGR,N/A,N/A,N/A,"I'm sorry, but I can't provide a business summary for ""N/A"" as it does not refer to a specific company. ""N/A"" typically means ""Not Applicable"" or that the information is not available. If you have a specific company name, please provide it, and I will summarise its business for you.
"
MGGT,N/A,N/A,N/A,"Please provide more context. I need the company's name to summarize its business. ""N/A"" means ""Not Applicable"" and doesn't give me any information.
"
MRCM,N/A,N/A,N/A,"I am sorry, I cannot summarise the business of UK company N/A because ""N/A"" does not provide enough information to determine the company's activities. To provide a useful summary, I would need a valid company name or registration number.
"
MRCH,Merchants Trust Ord,N/A,$819.8M,"Merchants Trust Ord is a UK investment company aiming to provide above-average income and long-term capital growth by investing mainly in higher-yielding large UK companies.
"
MTO,Mitie Group plc,Industrials,$1.4B,"Mitie Group PLC is a UK-based facilities management and professional services company providing services to both public and private sectors.
"
MAB,Mitchells & Butlers plc,Consumer Cyclical,$1.4B,"Mitchells & Butlers plc operates a wide range of pubs, bars, and restaurants across the UK and Germany.
"
MTO,Mitie Group plc,Industrials,$1.4B,"Mitie Group PLC is a British strategic outsourcing and energy services company, providing facilities and property management, infrastructure consultancy, and technical services.
"
MONY,MONY Group plc,Communication Services,$1.0B,"MONY Group PLC operates a tech-led savings platform with brands like MoneySuperMarket and MoneySavingExpert, helping households save money by comparing prices and offering financial tools.
"
MNKS,Monks Ord,N/A,$2.6B,"Monks Investment Trust PLC invests globally in quoted equities, prioritizing capital growth over income.
"
MOON,Moonpig Group PLC,Consumer Cyclical,$775.4M,"Moonpig Group PLC is a UK-based online greeting card and gifting platform with brands like Moonpig, Red Letter Days, Buyagift, and Greetz.
"
MGAM,Morgan Advanced Materials plc,Industrials,$761.7M,"Morgan Advanced Materials manufactures specialist products using advanced ceramics, carbon, and composites for various industries.
"
MGNS,Morgan Sindall Group plc,Industrials,$1.7B,"Morgan Sindall Group PLC is a UK-based construction and regeneration company operating in both the public and commercial sectors through six divisions.
"
MYI,Murray International Ord,N/A,$1.6B,"Murray International Trust PLC is a UK investment trust aiming for above-average dividend yield and long-term growth by investing in global equities and fixed income securities.
"
MWY,Mid Wynd International Inv Tr Ord,N/A,$370.2M,"Mid Wynd International Investment Trust aims for capital and income growth by investing globally in high-quality companies.
"
NBPE,NB Private Equity Partners Class A Ord,N/A,$673.0M,"NB Private Equity Partners is a closed-ended investment company that invests in direct private equity, co-investing alongside private equity sponsors.
"
NCC,NCC Group plc,Technology,$433.0M,"NCC Group is a global cyber security and software escrow business, delivering cyber resilience solutions.
"
NESF,NextEnergy Solar Ord,N/A,$401.6M,"NextEnergy Solar Fund is a specialist investment company focused on solar energy and energy storage assets, primarily utility-scale, and is listed on the London Stock Exchange.
"
N91,Ninety One Group,Financial Services,$1.3B,"Ninety One is a global investment manager offering active strategies across equities, fixed income, multi-asset, and alternative investments to institutions and advisors.
"
NAS,North Atlantic Smaller Cos Ord,N/A,$490.5M,"North Atlantic Smaller Companies Investment Trust PLC aims for capital appreciation by investing in smaller, listed and unquoted companies, primarily in countries bordering the North Atlantic Ocean.
"
OCDO,Ocado Group plc,Consumer Defensive,$2.7B,"Ocado Group plc is a technology company focused on redefining e-commerce, fulfillment, and logistics, particularly in online grocery, through its proprietary Ocado Smart Platform.
"
OSB,OSB Group Plc,Financial Services,$1.5B,"OSB Group PLC is a UK-based specialist mortgage lender focused on selected sub-segments of the UK mortgage market, operating through OneSavings Bank and Charter Court Financial Services.
"
OXIG,Oxford Instruments plc,Technology,$1.2B,"Oxford Instruments plc provides high-tech products and services for imaging, analyzing, and manipulating materials at the atomic level for industry and research.
"
ONT,Oxford Nanopore Technologies plc,Healthcare,$1.3B,"Oxford Nanopore Technologies develops and sells nanopore sequencing products for direct, electronic analysis of single molecules.
"
PHI,Pacific Horizon Ord,N/A,$525.8M,"Pacific Horizon Ord is a UK investment company focused on achieving capital growth by investing in companies listed in the Asia-Pacific region (excluding Japan) and the Indian Sub-continent.
"
PAGE,PageGroup plc,Industrials,$1.1B,"PageGroup plc is a UK-based recruitment consultancy offering services and career opportunities through brands like Michael Page and Page Executive.
"
PIN,Pantheon International Ord,N/A,$1.5B,"Pantheon International Plc (PIP) is a FTSE 250 investment trust providing exposure to a diversified portfolio of global private equity assets.
"
PAG,Paragon Banking Group PLC,Financial Services,$1.5B,"Paragon Banking Group PLC is a UK specialist bank providing mortgages for landlords, business loans, savings accounts, and asset finance.
"
PPET,Patria Private Equity Trust,N/A,$846.9M,"Patria Private Equity Trust invests in a diversified portfolio of private equity funds and direct investments in private companies, primarily with a European focus.
"
