,Company Name,Sector,Market Cap,Summary,Price,Change_percent
DLG,Direct Line Insurance Group plc,Financial Services,$3.5B,"Direct Line Insurance Group is a UK-based company offering a range of general insurance products, including motor, home, and commercial, through brands like Direct Line and Churchill.
",267.8,-0.37
JII,JPMorgan Indian Ord,,$685.5M,"JPMorgan Indian Investment Trust plc aims to achieve capital growth by investing in a diversified portfolio of quoted Indian companies, seeking to outperform the MSCI India Index.
",1016.47,-0.35
PETS,Pets at Home Group Plc,Consumer Cyclical,$1.0B,"Pets at Home Group Plc is a UK-based pet care business offering pet food, accessories, grooming, and veterinary services through retail stores and online channels.
",225.6,-0.35
FGT,Finsbury Growth & Income Ord,,$1.4B,"Finsbury Growth & Income Trust PLC invests mainly in UK-listed companies to achieve capital and income growth, aiming to surpass the FTSE All-Share Index.
",957.66,-0.35
BWY,Bellway p.l.c.,Consumer Cyclical,$3.2B,"Bellway p.l.c. is a UK-based home construction company that builds and sells homes, from apartments to family homes, and provides social housing.
",2599.0,-0.35
FSV,Fidelity Special Values Ord,,$1.1B,"Fidelity Special Values Ord is a British investment trust that invests in undervalued UK-listed companies, aiming for long-term capital growth.
",326.44,-0.32
PFD,Premier Foods plc,Consumer Defensive,$1.6B,"Premier Foods plc is a UK-based food manufacturer producing and supplying a range of food products, including cooking sauces, desserts, and sweet treats, with well-known brands like Mr Kipling and Bisto.
",191.2,-0.31
HSL,Henderson Smaller Companies Ord,,$598.9M,"Henderson Smaller Companies Ord is a UK investment company focused on maximizing shareholder returns by investing primarily in smaller, quoted UK companies.
",811.5,-0.31
PNN,Pennon Group Plc,Utilities,$2.2B,"Pennon Group PLC is an environmental infrastructure company providing clean water and wastewater services in the UK, primarily through South West Water and other subsidiaries.
",451.8,-0.31
CWK,Cranswick plc,Consumer Defensive,$2.7B,"Cranswick plc is a UK-based food producer, manufacturing and supplying premium food products like fresh pork and chicken to retailers and the food service sector.
",4995.0,-0.3
MNKS,Monks Ord,,$2.6B,"Monks Investment Trust PLC invests globally in quoted equities, prioritizing capital growth over income.
",1338.0,-0.3
BRSC,BlackRock Smaller Companies Ord,,$627.4M,"BlackRock Smaller Companies Trust PLC invests in smaller UK companies listed on the London Stock Exchange to achieve long-term capital growth for shareholders.
",1354.0,-0.29
SPI,Spire Healthcare Group plc,Healthcare,$927.4M,"Spire Healthcare Group plc owns and operates private hospitals and clinics in the UK, providing a range of integrated surgical, medical, and diagnostic healthcare services.
",229.32,-0.29
INPP,International Public Partnerships Ord,,$2.3B,"International Public Partnerships invests in public and social infrastructure assets globally, including the UK, Europe, Australia, and North America.
",119.26,-0.28
HMSO,Hammerson Plc,Real Estate,$1.4B,"Hammerson PLC is a real estate investment trust that owns, operates, and develops prime urban properties, including shopping centers and retail villages, in the UK, Ireland, and France.
",291.41,-0.27
DOM,Domino's Pizza Group plc,Consumer Cyclical,$1.1B,"Domino's Pizza Group plc operates and franchises Domino's pizza delivery stores in the United Kingdom and the Republic of Ireland.
",291.6,-0.27
MGNS,Morgan Sindall Group plc,Industrials,$1.7B,"Morgan Sindall Group PLC is a UK-based construction and regeneration company operating in both the public and commercial sectors through six divisions.
",3710.0,-0.27
JAM,JPMorgan American Ord,,$2.1B,"JPMorgan American Ord aims to achieve capital growth from North American investments by outperforming the S&P 500 index, investing predominantly in quoted companies.
",1165.01,-0.26
POLN,Pollen Street Group Limited,Financial Services,$478.7M,"Pollen Street Group is a listed alternative asset manager focused on investments in the financial and business services sectors.
",776.0,-0.26
QLT,Quilter plc,Financial Services,$2.2B,"Quilter plc is a UK-based wealth management company providing financial advice, investment platforms, and investment management services.
",158.7,-0.25
DNLM,Dunelm Group plc,Consumer Cyclical,$2.0B,"Dunelm Group plc is a UK-based homewares retailer offering a wide range of furniture, home furnishings and related services through its stores and online platform.
",989.5,-0.25
FGP,FirstGroup plc,Industrials,$966.4M,"FirstGroup plc is a British transport group operating bus and rail services in the UK and Republic of Ireland.
",162.6,-0.25
RWI,Renewi plc,Industrials,$639.7M,"Renewi plc is a waste-to-product company focused on extracting value from waste and used materials through recycling and treatment services, primarily in the Benelux region.
",801.0,-0.25
SNR,Senior plc,Industrials,$663.6M,"Senior plc designs and manufactures high-technology components and systems for the aerospace, defense, land vehicle, and power & energy markets.
",158.8,-0.25
SHED,Urban Logistics REIT Ord,,$520.4M,"Urban Logistics REIT is a UK property investment company focusing on strategically located, single-let logistics properties, particularly ""last mile"" assets, that support the distribution of essential goods.
",110.54,-0.23
AJB,AJ Bell plc,Financial Services,$1.8B,"AJ Bell is a UK investment platform providing online investment solutions and services, including SIPPs and ISAs, to both advised and direct-to-consumer clients.
",439.5,-0.23
CTY,City of London Ord,,$2.2B,"City of London Investment Trust PLC aims for long-term growth in income and capital by investing in equities listed on the London Stock Exchange.
",439.97,-0.23
PPET,Patria Private Equity Trust,,$846.9M,"Patria Private Equity Trust invests in a diversified portfolio of private equity funds and direct investments in private companies, primarily with a European focus.
",562.72,-0.23
GFTU,Grafton Group plc,Industrials,$1.8B,"Grafton Group plc is an international distributor of building materials and a DIY retailer with operations in the UK, Ireland, the Netherlands, Finland, and Spain.
",916.6,-0.22
RICA,Ruffer Investment Company Ord,,$910.1M,"Ruffer Investment Company is a British investment company focused on investments in internationally listed equities and related securities, aiming for positive annual returns and capital preservation.
",276.42,-0.21
ATT,Allianz Technology Trust Ord,,$1.7B,"Allianz Technology Trust is a UK investment trust aiming for long-term capital growth by investing in quoted technology companies worldwide.
",447.11,-0.2
ITV,ITV plc,Communication Services,$2.8B,"ITV plc is a vertically integrated producer, broadcaster, and streamer creating, owning, and distributing content globally through ITV Studios and its Media & Entertainment division.
",73.4,-0.2
IGG,IG Group Holdings plc,Financial Services,$3.6B,"IG Group is a UK-based online trading provider offering spread betting and CFD trading on equities, bonds, and currencies.
",1008.0,-0.2
ENOG,Energean plc,Energy,$1.8B,"Energean plc is an exploration and production company focused on natural gas in the Mediterranean and UK North Sea.
",983.0,-0.2
IPO,IP Group Plc,Financial Services,$511.4M,"IP Group PLC is a UK-based investor that develops and supports early-stage science and technology businesses, particularly in deep tech, life sciences, and clean technology.
",52.2,-0.19
HRI,Herald Ord,,$1.2B,"Herald Ord is a UK-based investment trust focused on achieving capital appreciation through investments in smaller technology and communications companies worldwide.
",2345.54,-0.19
APAX,Apax Global Alpha Ord,,$672.0M,"Apax Global Alpha is a closed-ended investment company that invests in private equity through Apax Funds and derived investments in equities and debt, aiming for long-term capital appreciation and dividends.
",134.56,-0.18
ASHM,Ashmore Group Plc,Financial Services,$1.1B,"Ashmore Group PLC is a UK-based investment manager specializing in emerging markets, managing assets across various investment themes.
",171.3,-0.17
FGEN,Foresight Environmental Infra Ord,,$433.5M,"Foresight Environmental Infrastructure (formerly JLEN) invests in diversified environmental infrastructure assets that support decarbonization, resource efficiency, and environmental sustainability while aiming for financial returns.
",66.99,-0.16
JDW,J D Wetherspoon plc,Consumer Cyclical,$702.6M,"J D Wetherspoon plc owns and operates pubs and hotels throughout the United Kingdom and Ireland.
",613.5,-0.16
INCH,Inchcape plc,Consumer Cyclical,$2.6B,"Inchcape plc is a global automotive distributor that operates in over 40 markets, distributing and retailing new and used luxury and premium vehicles.
",660.0,-0.15
DLN,Derwent London Plc,Real Estate,$2.2B,"Derwent London PLC is a UK-based REIT specializing in property investment, regeneration, and management of commercial real estate, primarily in central London.
",1964.0,-0.15
TBCG,TBC Bank Group PLC,Financial Services,$1.9B,"TBC Bank Group PLC is a UK-based parent company of JSC TBC Bank, a leading universal banking group in Georgia, and also provides digital financial services in Uzbekistan.
",3510.0,-0.14
RHIM,RHI Magnesita N.V.,Industrials,$1.7B,"RHI Magnesita N.V. is a global supplier of refractory products, systems, and services essential for high-temperature industrial processes.
",3645.0,-0.14
CCL,Carnival Corporation & plc,Consumer Cyclical,$25.8B,"Carnival Corporation & plc is a global cruise and vacation company with a portfolio of cruise lines, offering cruises to various destinations.
",1986.5,-0.13
HICL,HICL Infrastructure PLC Ord,,$2.4B,"HICL Infrastructure PLC is a UK-based investment company focused on long-term infrastructure assets, aiming to provide sustainable income and capital growth.
",115.25,-0.13
EDIN,Edinburgh Investment Ord,,$1.1B,"Edinburgh Investment Trust aims to increase net asset value per share and dividends by investing primarily in UK securities, with up to 20% in international stocks.
",767.0,-0.13
LWDB,Law Debenture Corporation Ord,,$1.2B,"Law Debenture Corporation is a UK investment trust providing diversified investments and independent professional services like pension trusteeship and corporate secretarial services.
",914.79,-0.13
RAT,Rathbones Group Plc,Financial Services,$1.8B,"Rathbones Group Plc is a UK-based firm providing investment and wealth management services to private clients, charities, trustees, and professional partners.
",1724.0,-0.12
GSCT,The Global Smaller Companies Trust Ord,,$748.4M,"The Global Smaller Companies Trust aims to achieve high total returns by investing in smaller companies worldwide, diversifying its portfolio across sectors and markets.
",163.0,-0.12
IDS,International Distribution Services plc,Industrials,$3.5B,"International Distribution Services PLC provides postal and delivery services through its Royal Mail and GLS operations.
",364.8,-0.11
HFG,Hilton Food Group plc,Consumer Defensive,$795.9M,"Hilton Food Group PLC is a specialist international food packing business that supplies meat, seafood, vegan, and vegetarian products to retailers.
",880.0,-0.11
JTC,JTC PLC,Financial Services,$1.6B,"JTC PLC is a global professional services business providing fund, corporate, and private client services to institutional and private clients.
",972.0,-0.1
EWI,Edinburgh Worldwide Ord,,$721.9M,"Edinburgh Worldwide is a UK investment trust aiming for long-term capital growth by investing in listed companies globally, particularly smaller companies with disruptive growth potential.
",192.2,-0.1
CHRY,Chrysalis Investments Limited Ord,,$579.3M,"Chrysalis Investments is a Guernsey-based investment company focused on generating long-term capital growth by investing in equity or equity-related investments in both unquoted and listed companies.
",103.7,-0.1
BRWM,BlackRock World Mining Trust Ord,,$965.7M,"BlackRock World Mining Trust aims to provide a diversified investment in mining and metal assets worldwide, actively managed to maximize total returns, including royalties and physical metals.
",504.62,-0.08
OSB,OSB Group Plc,Financial Services,$1.5B,"OSB Group PLC is a UK-based specialist mortgage lender focused on selected sub-segments of the UK mortgage market, operating through OneSavings Bank and Charter Court Financial Services.
",423.45,-0.08
SUPR,Supermarket Income REIT Ord,,$885.4M,"Supermarket Income REIT invests in omnichannel supermarket properties in the UK, focusing on stores that serve both in-person and online shoppers, and aims to provide shareholders with income and capital growth.
",68.54,-0.08
HAS,Hays plc,Industrials,$1.2B,"Hays plc is a global recruitment company placing candidates in permanent, temporary, and contractual roles across various sectors.
",76.4,-0.07
TMPL,Temple Bar Ord,,$812.2M,"Temple Bar Ord is a UK-based investment company focused on providing investors with growing income and capital growth through investments primarily in UK equities, particularly FTSE 350 companies.
",284.9,-0.04
MYI,Murray International Ord,,$1.6B,"Murray International Trust PLC is a UK investment trust aiming for above-average dividend yield and long-term growth by investing in global equities and fixed income securities.
",268.92,-0.03
USA,Baillie Gifford US Growth Ord,,$761.3M,"Baillie Gifford US Growth Ord is a UK investment company focused on achieving long-term capital growth by investing in listed and unlisted US companies with high growth potential.
",268.0,0.0
SHC,Shaftesbury Capital PLC,Real Estate,$2.2B,"Shaftesbury Capital PLC is a UK REIT investing in London's West End properties, including shops, restaurants, offices, and residential spaces in areas like Covent Garden and Soho.
",123.3,0.0
ONT,Oxford Nanopore Technologies plc,Healthcare,$1.3B,"Oxford Nanopore Technologies develops and sells nanopore sequencing products for direct, electronic analysis of single molecules.
",134.0,0.0
ASC,ASOS Plc,Consumer Cyclical,$481.3M,"ASOS Plc is a UK-based global online fashion and cosmetic retailer targeting young adults, offering over 850 brands, including its own, and shipping to 196 countries.
",396.8,-0.0
BME,B&M European Value Retail S.A.,Consumer Defensive,$3.2B,"B&M European Value Retail S.A. operates discount retail stores, offering a variety of merchandise including food, home goods, and DIY products, through its B&M, Heron Foods, and B&M Express chains in the UK and France.
",318.8,-0.0
AGR,Assura Plc,Real Estate,$1.2B,"Assura PLC is a UK-based healthcare property investor and developer, specialising in primary care buildings.
",38.26,-0.0
ESP,Empiric Student Property Plc,Real Estate,$561.1M,"Empiric Student Property Plc is a UK-based real estate investment trust that owns, operates, and develops modern, direct-let, premium student accommodation, primarily studio-led, in key university cities.
",84.2,-0.0
PTEC,Playtech plc,Consumer Cyclical,$2.3B,"Playtech plc provides software and services to the online gambling industry, offering platforms for online casinos, sports betting, and more.
",743.0,0.0
ESNT,Essentra plc,Basic Materials,$358.2M,"Essentra plc is a global provider of essential plastic, metal, and fiber components and solutions, including plastic injection molded products, with a global network across 28 countries.
",124.6,-0.0
STEM,SThree plc,Industrials,$345.2M,"SThree plc is a global specialist talent partner focused on providing permanent and flexible contract talent for roles in Science, Technology, Engineering and Mathematics (STEM).
",255.5,0.0
PAY,PayPoint plc,Technology,$503.1M,"PayPoint PLC is a UK-based company providing multichannel payment solutions and retail services through its network of retail locations and digital platforms.
",696.0,0.0
BAG,A.G. BARR p.l.c.,Consumer Defensive,$693.0M,"A.G. Barr p.l.c. is a UK-based multi-beverage business that manufactures, distributes, and sells a range of soft drinks and other beverages.
",627.0,0.0
BSIF,Bluefield Solar Income Fund,,$477.2M,"Bluefield Solar Income Fund is a UK investment trust focused on acquiring and managing a diversified portfolio of renewable energy assets, primarily solar, in the UK to provide stable income to investors.
",81.5,0.0
MTO,Mitie Group plc,Industrials,$1.4B,"Mitie Group PLC is a British strategic outsourcing and energy services company, providing facilities and property management, infrastructure consultancy, and technical services.
",116.8,0.0
ALPH,Alpha Group International plc,Financial Services,$1.1B,"Alpha Group International PLC is a UK-based financial services business providing FX risk management and alternative banking solutions to international corporates and institutions.
",2530.0,0.0
BBY,Balfour Beatty plc,Industrials,$2.3B,"Balfour Beatty PLC is an international infrastructure group based in the UK, with capabilities in construction, support services and infrastructure investments.
",465.8,-0.0
MRCH,Merchants Trust Ord,,$819.8M,"Merchants Trust Ord is a UK investment company aiming to provide above-average income and long-term capital growth by investing mainly in higher-yielding large UK companies.
",550.09,0.02
JUP,Jupiter Fund Management Plc,Financial Services,$412.5M,"Jupiter Fund Management is a UK-based asset manager providing equity and bond investments for private and institutional clients through various funds and mandates.
",79.82,0.03
OCDO,Ocado Group plc,Consumer Defensive,$2.7B,"Ocado Group plc is a technology company focused on redefining e-commerce, fulfillment, and logistics, particularly in online grocery, through its proprietary Ocado Smart Platform.
",325.14,0.04
BBGI,BBGI Global Infrastructure Ord,,$1.0B,"BBGI Global Infrastructure invests in operational public-private partnership infrastructure assets, delivering long-term, sustainable returns and serving a social purpose.
",142.88,0.06
SRE,Sirius Real Estate Limited,Real Estate,$1.2B,"Sirius Real Estate Limited is a property company that owns and operates branded business and industrial parks providing conventional space and flexible workspace in Germany and the United Kingdom.
",78.35,0.06
PAGE,PageGroup plc,Industrials,$1.1B,"PageGroup plc is a UK-based recruitment consultancy offering services and career opportunities through brands like Michael Page and Page Executive.
",332.4,0.06
SCT,Softcat plc,Technology,$3.2B,"Softcat plc is a UK-based IT infrastructure and services provider, offering solutions like software licensing, workplace technology, and cloud services to businesses and public sector organizations.
",1606.0,0.06
